id,name,crs_code,tiploc_code
0,Elephant & Castle,EPH,ELPHNAC
1,London Bridge,LBG,LNDNBDC
2,London Waterloo East,WAE,WLOE
3,London Waterloo,WAT,WATRLMN
4,South Bermondsey,SBM,SBRMNDS
5,Denmark Hill,DMK,DENMRKH
6,London Cannon Street,CST,CANONST
7,Vauxhall,VXH,VAUXHLW
8,Peckham Rye,PMR,PCKHMRY
9,London Fenchurch Street,FST,FENCHRS
10,London Blackfriars,BFR,BLFR
11,Loughborough Junction,LGJ,LBGHJN
12,Wapping,WPE,WAPPING
13,Queens Road (Peckham),QRP,PCKHMQD
14,Rotherhithe,ROE,RTHERHI
15,Canada Water,ZCW,CNDAW
16,Surrey Quays,SQE,SURREYQ
17,City Thameslink,CTK,CTMSLNK
18,East Dulwich,EDW,EDULWCH
19,London Liverpool Street,LST,LIVST
20,Moorgate (Great Northern),MOG,MRGT
21,Shadwell,SDE,SHADWEL
22,London Charing Cross,CHX,CHRX
23,Brixton,BRX,BRIXTON
24,Barbican,ZBB,BRBCNLT
25,Nunhead,NHD,NUNHEAD
26,Farringdon (London),ZFD,FRNDNLT
27,New Cross Gate,NXG,NEWXGEL
28,Whitechapel,ZWL,WCHAPEL
29,Shoreditch High Street,SDC,SHRDHST
30,North Dulwich,NDL,NDULWCH
31,London Victoria,VIC,VICTRIE
32,Old Street,OLD,OLDST
33,Clapham High Street,CLP,CLPHHS
34,Wandsworth Road,WWR,WNDSWRD
35,New Cross,NWX,NWCRELL
36,Herne Hill,HNH,HERNEH
37,Limehouse,LHS,LIMHSE
38,Bethnal Green,BET,BTHNLGR
39,Battersea Park,BAK,BATRSPK
40,Queenstown Road (Battersea),QRB,QTRDBAT
41,Deptford,DEP,DEPTFD
42,Brockley,BCY,BROCKLY
43,Hoxton,HOX,HOXTON
44,St Johns,SAJ,STJOHNS
45,Cambridge Heath,CBH,CAMHTH
46,London Kings Cross,KGX,KNGX
47,London St Pancras International,STP,STPANCI
48,London St Pancras International,SPX,STPANCI
49,Crofton Park,CFT,CFPK
50,Honor Oak Park,HPA,HONROPK
51,London Euston,EUS,EUSTON
52,Greenwich,GNW,GNWH
53,West Dulwich,WDU,WDULWCH
54,Haggerston,HGG,HAGGERS
55,Tulse Hill,TUH,TULSEH
